hours	average difference in windspeed
0	6.300000000000001
1	7.050000000000001
2	8.850000000000001
3	11.1
4	11.7
5	12.25
6	10.8
7	7.35
8	7.199999999999999
9	10.55
10	11.7
11	13.100000000000001
12	16.75
13	16.35
14	18.15
15	14.2
16	13.05
17	13.3
18	12.2
19	14.55
20	15.5
21	13.850000000000001
22	11.0
23	10.6
24	9.55
25	7.95
26	7.05
27	6.85
28	8.1
29	9.899999999999999
30	11.35
31	12.6
32	14.05
33	15.8
34	17.299999999999997
35	18.75
36	20.55
37	22.15
38	21.4
39	21.05
40	20.7
41	20.15
42	19.65
43	18.2
44	17.3
45	16.6
46	14.55
47	13.149999999999999
48	11.2
49	10.100000000000001
50	8.649999999999999
51	9.15
52	8.1
53	6.3
54	6.3
55	6.8
56	7.75
57	7.6
58	6.45
59	7.75
60	9.0
61	10.25
62	9.0
63	7.6
64	6.85
65	6.65
66	5.95
67	5.75
68	6.300000000000001
69	6.1
70	5.8
71	5.95
72	6.300000000000001
73	5.949999999999999
74	6.5
75	6.449999999999999
76	6.449999999999999
77	6.1
78	6.300000000000001
79	6.449999999999999
80	5.55
81	5.6
82	5.4
83	6.85
84	7.95
85	8.5
86	8.6
87	7.949999999999999
88	7.8999999999999995
89	7.95
90	8.6
91	9.25
92	9.5
93	9.55
94	9.8
95	10.2
96	10.649999999999999
97	9.9
98	9.5
99	8.85
