hours	visualcrossing difference	weatherapi difference
0	0.7000000000000002	1.2000000000000002
1	1.0	1.2000000000000002
2	1.1999999999999993	1.6000000000000005
3	1.3000000000000007	1.799999999999999
4	1.5	1.8000000000000007
5	0.0	1.6999999999999993
6	0.0	1.6999999999999993
7	0.8000000000000007	1.0999999999999996
8	0.6999999999999993	1.200000000000001
9	0.0	1.5999999999999996
10	0.0	1.5
11	0.0	1.8999999999999986
12	0.0	2.0
13	0.0	2.1999999999999993
14	2.5	2.1999999999999993
15	1.7999999999999998	2.1000000000000014
16	1.5999999999999996	2.2
17	1.6999999999999993	2.4000000000000004
18	1.9000000000000004	1.9000000000000004
19	2.2	1.7000000000000002
20	1.6999999999999993	2.8000000000000007
21	1.7000000000000002	2.5
22	1.6999999999999993	1.9000000000000004
23	1.700000000000001	1.9000000000000004
24	1.7000000000000002	1.5999999999999996
25	1.5	1.1999999999999993
26	1.2999999999999998	0.8999999999999995
27	1.2999999999999998	0.9000000000000004
28	1.2000000000000002	1.5000000000000009
29	1.2999999999999998	2.0999999999999996
30	1.2000000000000002	2.5
31	1.5	2.8
32	1.3999999999999995	3.1999999999999993
33	1.799999999999999	3.5
34	2.3999999999999995	3.6
35	2.5	3.9000000000000004
36	2.7	4.1
37	3.0999999999999996	4.1
38	3.0999999999999996	4.1
39	3.1000000000000005	3.9999999999999996
40	3.2	3.9000000000000004
41	3.1	3.7
42	3.2	3.6
43	3.0	3.4
44	2.8999999999999995	3.4999999999999996
45	2.9	3.4
46	2.6999999999999997	3.1000000000000005
47	2.3999999999999995	2.9999999999999996
48	2.1	2.6999999999999997
49	2.1999999999999997	2.3
50	1.8000000000000003	2.1000000000000005
51	1.6	2.6000000000000005
52	1.5	2.4
53	1.2000000000000002	1.8999999999999995
54	1.4999999999999998	1.5999999999999996
55	1.1999999999999997	2.0999999999999996
56	1.4000000000000004	2.3
57	1.4	2.2
58	1.0	1.8000000000000003
59	1.2999999999999998	2.1999999999999997
60	1.5	2.3
61	1.7000000000000002	2.3000000000000007
62	1.2999999999999998	2.2
63	0.8999999999999995	1.8000000000000007
64	0.0	1.7000000000000002
65	0.7999999999999998	1.5999999999999996
66	0.7999999999999998	1.2000000000000002
67	0.0	1.3000000000000007
68	0.0	1.6000000000000005
69	0.0	1.7000000000000002
70	0.0	1.6000000000000005
71	0.0	1.7999999999999998
72	0.0	1.9
73	0.0	1.8000000000000003
74	0.0	1.9
75	0.0	2.1
76	0.0	1.9999999999999996
77	0.0	1.8999999999999995
78	0.0	2.0
79	0.0	2.1000000000000005
80	0.0	1.5
81	0.0	1.6
82	0.0	1.4000000000000004
83	0.0	1.5999999999999996
84	1.2000000000000002	1.6000000000000005
85	1.0	1.9000000000000004
86	0.9000000000000004	1.8999999999999995
87	0.8000000000000007	1.7999999999999998
88	0.9000000000000004	1.9000000000000004
89	1.0999999999999996	1.9000000000000004
90	1.2999999999999998	2.2
91	1.2000000000000002	2.5000000000000004
92	1.2000000000000002	2.6000000000000005
93	1.0999999999999996	2.6
94	1.2000000000000002	2.6999999999999997
95	1.3000000000000007	2.8
96	1.4000000000000004	2.8
97	1.2999999999999998	2.6999999999999997
98	1.2000000000000002	2.6
99	1.0999999999999996	2.4
